Metabolites,FC,pvalue
MEDP1410,1.055134632,0.858891254
MEDP1415,1.369190885,0.082235755
MEDP1422,0.998237348,0.922538044
MEDP1431,0.893557081,0.45804289
MEDP1432,0.921269377,0.598654975
MEDP1433,0.954037832,0.393845788
MEDP1434,0.868107298,0.079605965
MEDP1449,0.591591003,0.000869083
MEDP1450,0.591591003,0.000869083
MEDP1465,0.918235194,0.080630617
MEDP1472,0.881107314,0.122387249
MEDP1479,0.393772195,0.021623721
MEDP1488,1.126612542,0.036582597
MEDP1490,0.908398866,0.263208695
MEDP1493,1.022448637,0.80629434
MEDP1500,1.05907984,0.519726458
MEDP1506,0.893413925,0.119338101
MEDP1507,0.920654309,0.711918529
MEDP1508,0.931146259,0.084842884
MEDP1511,0.987524625,0.878392843
MEDP1512,0.909462782,0.099257013
MEDP1516,1.131504081,0.519083175
MEDP1604,0.952335652,0.033976416
MEDP1614,1.065714384,0.310298227
MEDP1644,1.024087901,0.674831376
MEDP1654,1.022448637,0.80629434
MEDP1655,1.008900124,0.74249072
MEDP1657,0.916494948,0.080630617
MEDP1658,0.991881345,0.877237844
MEDP1659,0.96051551,0.578011127
MEDP1662,0.988067667,0.754990447
MEDP1663,1.076848685,0.144290826
MEDP1667,1.053463191,0.342035807
MEDP1686,1.002439611,0.98466114
MEDP1693,1.043629214,0.533031614
MEDP1695,0.972760127,0.650641461
MEDP1698,0.952226253,0.367354338
MEDP1705,1.081551721,0.383966453
MEDP1706,1.00829696,0.970802923
MEDP1713,1.18061209,0.020562473
MEDP1717,1.023612734,0.499633243
MEDP1723,1.045919816,0.480382168
MEDP1744,1.008838343,0.677858846
MEDP1749,0.973375663,0.543335407
MEDP1750,1.015596324,0.859208101
MEDP1762,1.251775871,0.827879265
MEDP1778,0.896855602,0.031832955
MEDP1779,0.928098857,0.385485115
MEDP1780,1.005127428,0.999382093
MEDP1786,1.426928695,0.000726633
MEDP1787,1.148976279,0.050527889
MEDP1788,1.007909017,0.876142979
MEDP1799,0.967962608,0.659602196
MEDP1802,0.748493,0.480270698
MEDP1853,0.985168684,0.598654975
MEDP1860,0.930777981,0.483730282
MEDP1871,0.930485692,0.519726458
MEDP1884,1.063285715,0.858891254
MEDP1885,0.56030647,0.005372783
MEDP1897,1.272702027,0.45804289
MEDP1898,0.996051627,0.849819808
MEDP1913,1.306158958,0.95093809
MEDP1914,1.043027708,0.557299943
MEDP1915,1.102260689,0.370059559
MEDP1917,1.399592938,0.029233394
MEDP1919,0.670030915,0.006376171
MEDP1921,1.43609201,0.023117401
MEDP1923,1.063375065,0.699383297
MEDP1928,0.743597569,0.023117401
MEDP1929,1.035086503,0.914764026
MEDP1940,0.942191527,0.577265456
MEDP1942,0.839286186,0.74249072
MEDP1961,1.056515456,0.623183159
MEDP1973,0.769240103,0.474947207
MEDP1993,0.993003313,0.937121711
MEDP1996,1.022275707,0.883502931
MEDP2001,1.038708525,0.733632762
MEDP2003,1.023745458,0.614441476
MEDP2007,1.199892469,0.143146474
MEDP2017,1.040118603,0.655135564
MEDP2038,1.099441018,0.179509044
MW0001163,1.009974055,0.514716071
MW0001486,0.999173748,0.916969518
MW0001675,0.888842003,0.205967819
MW0002271,1.026765138,0.170355648
MW0002401,0.777386887,0.158518292
MW0002432,0.92558851,0.535935751
MW0002893,0.919729874,0.885612387
MW0003249,0.970072872,0.916969518
MW0003729,0.946105544,0.393845788
MW0004159,1.252809587,0.80629434
MW0006078,0.9946783,0.913069256
MW0006470,1.021759219,0.990269013
MW0006821,0.96900743,0.264167096
MW0006886,1.171611886,0.782668348
MW0007831,0.980996528,0.949428696
MW0008652,1.066722123,0.630122211
MW0009655,0.954859669,0.967671743
MW0009863,0.332028101,0.107147932
MW0010040,0.994736048,0.891542061
MW0010601,3.22220398,0.163272625
MW0011071,1.043761074,0.985828694
MW0011450,1.137307435,0.75569319
MW0011786,0.9841924,0.950483155
MW0011795,0.975313808,0.655135564
MW0011811,0.905557816,0.122387249
MW0011847,1.170765668,0.916780364
MW0011892,0.944700233,0.47042651
MW0012078,1.082648347,0.276563591
MW0012469,1.056112103,0.578011127
MW0012516,1.011933256,0.61391399
MW0012552,0.942209105,0.743233584
MW0012622,0.955562115,0.743048666
MW0012793,1.142719822,0.434225414
MW0012926,1.069644193,0.607800809
MW0013300,0.952182665,0.184643482
MW0013469,0.779874635,0.312447246
MW0013502,1.039926551,0.370567127
MW0013514,0.956048539,0.598654975
MW0013829,0.65254934,0.056632171
MW0014060,0.964166857,0.607800809
MW0014265,1.025681442,0.973411539
MW0014865,1.010867962,0.659565487
MW0014866,0.86679058,0.386412011
MW0015657,0.985512254,0.676946953
MW0016030,1.150552425,0.374481051
MW0017104,1.009863565,0.834845259
MW0052373,0.911535306,0.673690121
MW0053527,0.98108749,0.798228177
MW0053901,0.964649724,0.578011127
MW0054028,1.168567632,0.374618086
MW0054155,1.001734402,0.973411539
MW0054358,0.922407878,0.536070349
MW0054671,1.246663827,0.074178136
MW0054786,1.056490073,0.60416929
MW0054976,1.189323216,0.271986962
MW0055025,0.867321264,0.134171054
MW0055136,0.833694919,0.195744299
MW0055215,1.104684681,0.88082776
MW0055411,0.922756486,0.258322293
MW0055436,0.799266734,0.134171054
MW0055444,1.17455401,0.798228177
MW0055479,1.06752581,0.427649418
MW0061026,0.945373107,0.474825877
MW0062166,0.858261512,0.327184118
MW0062212,1.206260236,0.296373065
MW0062242,1.236805621,0.074186956
MW0062275,0.926384935,0.486882455
MW0063590,0.958756869,0.697437904
MW0063665,1.07209598,0.597773095
MW0063708,0.983305202,0.676946953
MW0102841,1.053449012,0.433474073
MW0102908,1.293663165,0.232455866
MW0103361,1.061844761,0.750998034
MW0104208,0.769288815,0.218639173
MW0104272,1.031840003,0.546952885
MW0104373,1.191074725,0.271563484
MW0104474,0.91275787,0.415636293
MW0105037,0.931584507,0.364398617
MW0105209,1.092331136,0.47042651
MW0105933,1.006331934,0.944792164
MW0106007,0.313005241,0.9708894
MW0107624,0.99479689,0.953709185
MW0107746,0.955084805,0.161264417
MW0108414,0.971145477,0.623183159
MW0108435,1.003936215,0.859867259
MW0109000,0.981256474,0.625447272
MW0109414,0.942498754,0.474384451
MW0109691,0.989572012,0.650641461
MW0109751,0.809126917,0.013601531
MW0109785,1.018440501,0.946746705
MW0110009,0.882495517,0.857759129
MW0110487,0.98250745,0.973265613
MW0110742,1.322119721,0.000869083
MW0111083,0.960730599,0.88082776
MW0111911,1.019004643,0.598654975
MW0112752,1.164161585,0.004978897
MW0112859,0.976270461,0.16814955
MW0112918,0.999094293,0.985828694
MW0113261,1.111905525,0.676946953
MW0113283,1.212143363,0.429239371
MW0114282,0.589339007,0.008395923
MW0114590,0.994313798,0.926603658
MW0115062,1.004547887,0.947508225
MW0115063,1.099492921,0.409874057
MW0117075,0.970559185,0.985828694
MW0117159,1.007995725,0.990269013
MW0117278,0.99316214,0.940501509
MW0119585,0.77165318,0.130597398
MW0120946,0.894284414,0.020562473
MW0123240,0.979669709,0.598654975
MW0124205,0.98780487,0.809021985
MW0124439,0.907326771,0.263208695
MW0124804,0.600642574,0.011018052
MW0125788,1.061858508,0.519726458
MW0126226,0.992532098,0.934727346
MW0126293,1.004212301,0.833780499
MW0126453,0.991318846,0.974505845
MW0126515,1.173517186,0.998357666
MW0126592,0.93141381,0.319544699
MW0126843,1.039207314,0.987490382
MW0127248,1.084066615,0.334745451
MW0129025,0.841203213,0.768787152
MW0129353,0.616869211,0.566602426
MW0133375,1.02886529,0.543335407
MW0136716,0.996630573,0.905309236
MW0137431,0.658050012,0.420724956
MW0137676,0.999577148,0.950483155
MW0138026,1.035423701,0.822666203
MW0138455,1.072423024,0.926603658
MW0138478,1.030731025,0.578011127
MW0139075,0.814498057,0.024400251
MW0139396,1.030432861,0.744398775
MW0139445,0.904717584,0.181821018
MW0139667,0.992905821,0.98466114
MW0140262,1.091012389,0.34865475
MW0141286,0.950153869,0.342035807
MW0141401,0.990423542,0.897690501
MW0141409,0.921336842,0.144925425
MW0141493,1.00641121,0.953733532
MW0141511,1.092465328,0.981647387
MW0141512,0.981266683,0.937121711
MW0141675,1.2599103,0.202897674
MW0141934,1.033115644,0.651944177
MW0142027,0.826409932,0.128110269
MW0142145,0.774071166,0.012527676
MW0142150,1.125418231,0.759693913
MW0142222,0.904846021,0.179509044
MW0142323,0.940579514,0.197029185
MW0142596,0.990782949,0.880333574
MW0142606,0.842489063,0.937423687
MW0142653,0.951809581,0.557299943
MW0142794,1.145806408,0.598654975
MW0143225,0.795789973,0.031112209
MW0143248,0.975657396,0.578026129
MW0143259,0.979072799,0.598654975
MW0143459,1.13829001,0.263208695
MW0143559,0.963717595,0.578058503
MW0143603,1.00980722,0.859208101
MW0143686,1.010635351,0.9708894
MW0143809,0.972293912,0.429196872
MW0143925,0.98931678,0.733632762
MW0143996,0.822614494,0.021899609
MW0144508,1.021872058,0.881858352
MW0145437,1.071589936,0.539915742
MW0145509,1.005789849,0.950483155
MW0145670,0.96685542,0.58732457
MW0146186,0.950147111,0.346142115
MW0146518,1.040604142,0.776458728
MW0146836,1.010154323,0.749883946
MW0147536,0.979523906,0.137707669
MW0147733,1.093647315,0.858429279
MW0148349,1.007833378,0.849801486
MW0148533,1.103979939,0.772107768
MW0148611,1.03080111,0.822666203
MW0149268,0.816385222,0.386412011
MW0149546,0.71424252,0.158518292
MW0150666,1.003523309,0.88082776
MW0151417,0.992745194,0.88082776
MW0151905,0.957797539,0.683057031
MW0151906,1.023705927,0.876142979
MW0151926,0.975110899,0.413602883
MW0152097,0.937344,0.27538468
MW0152206,1.050682256,0.504586371
